1710979200000,67840.51000000,68240.47000000,66340.00000000,66654.45000000,9548.03051000,1710993599999,644689979.73735890,395579,4750.56929000,320743100.19049140,0
1710993600000,66654.46000000,67330.00000000,66072.20000000,66985.19000000,7775.81555000,1711007999999,519580741.38290850,332147,4272.42802000,285463756.69828050,0
1711008000000,66985.19000000,67659.53000000,66650.00000000,67044.00000000,6826.14520000,1711022399999,458066687.18349370,336376,3350.96647000,224866505.16329930,0
1711022400000,67044.01000000,67693.60000000,65885.96000000,66557.77000000,10244.26221000,1711036799999,685279728.62873740,476657,5397.75658000,361230111.04562150,0
1711036800000,66557.77000000,67000.00000000,64871.01000000,65223.74000000,11883.44847000,1711051199999,780787140.70909660,490867,5618.86549000,369391757.26359510,0
1711051200000,65223.73000000,65946.66000000,64529.01000000,65501.27000000,7079.77808000,1711065599999,462818865.32282190,356764,3259.51201000,213138620.86023670,0
1711065600000,65501.28000000,66160.00000000,65120.01000000,65981.99000000,6860.14662000,1711079999999,450573766.66965240,357628,3261.80592000,214326280.53161210,0
1711080000000,65981.99000000,66649.62000000,65756.64000000,66178.01000000,5005.64413000,1711094399999,331542152.30177760,309189,2528.08016000,167465565.56819820,0
1711094400000,66178.01000000,66363.10000000,64065.72000000,64233.90000000,8364.76408000,1711108799999,545162129.35518830,420163,3749.38940000,244460506.01753140,0
1711108800000,64233.90000000,64674.06000000,62601.11000000,63877.04000000,15779.03684000,1711123199999,1003304028.30048610,615808,7661.53704000,487241068.07769550,0
1711123200000,63877.04000000,64126.09000000,62766.63000000,63866.93000000,8473.14688000,1711137599999,538479670.43711750,411458,4166.97609000,264856391.28935250,0
1711137600000,63866.94000000,63978.86000000,62260.00000000,63796.64000000,6999.63966000,1711151999999,441420231.04342340,378635,3211.09096000,202590352.63684770,0
1711152000000,63796.64000000,64374.91000000,63000.00000000,63556.00000000,5352.28065000,1711166399999,341378445.60148230,320236,2487.08108000,158663156.40751980,0
1711166400000,63556.00000000,64856.01000000,63506.50000000,64575.41000000,3673.22300000,1711180799999,235872842.96087020,265357,1885.27223000,121083030.07214110,0
1711180800000,64575.41000000,64857.14000000,64186.21000000,64629.62000000,3461.55180000,1711195199999,223151663.76058830,262179,1608.16101000,103692456.13088740,0
1711195200000,64629.61000000,65414.69000000,64278.15000000,65104.05000000,5604.02124000,1711209599999,363571850.25534270,354777,2826.87366000,183406718.29822830,0
1711209600000,65104.06000000,65999.00000000,64786.25000000,64872.90000000,5268.49718000,1711223999999,344874833.91270740,320778,2615.60800000,171225921.04643450,0
1711224000000,64872.90000000,65199.97000000,63861.66000000,63990.01000000,3050.54022000,1711238399999,197302536.14062250,230239,1326.01225000,85821564.75976590,0
1711238400000,63990.02000000,64723.16000000,63922.85000000,63962.98000000,2935.71455000,1711252799999,188730517.13099880,242376,1381.15430000,88822494.50217090,0
1711252800000,63962.98000000,64583.44000000,63772.29000000,64583.43000000,2684.12371000,1711267199999,172251883.89409120,213418,1369.46657000,87900635.64461240,0
1711267200000,64583.44000000,65368.66000000,64476.00000000,65334.01000000,4489.73276000,1711281599999,291773000.09282480,286948,2579.22655000,167621115.09823060,0
1711281600000,65334.00000000,65925.19000000,65177.28000000,65673.36000000,5348.55639000,1711295999999,350693030.94709500,354879,2690.53405000,176406090.97800380,0
1711296000000,65673.36000000,66045.99000000,64600.01000000,65843.02000000,6877.20940000,1711310399999,450536358.49444310,373955,3310.03422000,216887073.35322810,0
1711310400000,65843.02000000,67628.69000000,65730.60000000,67209.99000000,9060.44334000,1711324799999,605328158.08923440,409198,5359.24048000,358183216.45295390,0
1711324800000,67210.00000000,67350.00000000,66385.06000000,67350.00000000,5111.47135000,1711339199999,341370940.54110180,307712,2713.20419000,181214563.24545630,0
1711339200000,67350.00000000,67740.00000000,66710.00000000,66821.19000000,5187.21371000,1711353599999,348957390.61559140,294438,2517.72257000,169380306.70819800,0
1711353600000,66821.19000000,67344.23000000,66747.65000000,66810.15000000,4533.27519000,1711367999999,303544652.16675570,288968,2194.24008000,146934474.45250620,0
1711368000000,66810.15000000,70000.00000000,66780.00000000,69792.05000000,18421.73075000,1711382399999,1265921734.51108110,834226,10152.84382000,697408407.41222370,0
1711382400000,69792.06000000,71000.00000000,69440.18000000,70960.89000000,12949.80008000,1711396799999,911659546.97875750,520279,6803.42168000,478965656.10260700,0
1711396800000,70960.89000000,71150.00000000,69562.09000000,69880.01000000,7227.65378000,1711411199999,508509808.99792500,386597,3434.15535000,241710766.31877240,0
1711411200000,69880.00000000,70606.00000000,69732.80000000,70423.11000000,4442.88157000,1711425599999,311928668.57878750,270524,2148.17470000,150838457.09108620,0
1711425600000,70423.11000000,71561.10000000,70260.30000000,70486.38000000,6445.21132000,1711439999999,456311138.83867810,357293,3217.51865000,227842150.50312320,0
1711440000000,70486.38000000,71280.00000000,70268.66000000,70693.16000000,6034.68060000,1711454399999,427371383.53909870,370068,3007.85377000,213013899.17336240,0
1711454400000,70693.17000000,71136.63000000,69280.00000000,70250.00000000,11063.14222000,1711468799999,777410215.33367470,541856,5750.22158000,404090350.38481010,0
1711468800000,70250.01000000,70499.00000000,69412.00000000,69477.67000000,7627.77768000,1711483199999,533268717.72237400,387550,3633.97405000,254140856.21222490,0
1711483200000,69477.66000000,70305.33000000,69401.72000000,69988.00000000,3320.69078000,1711497599999,232247221.32326700,249516,1741.11391000,121782493.17426530,0
1711497600000,69987.99000000,70739.65000000,69840.00000000,70387.99000000,4372.69970000,1711511999999,307823407.94507170,280384,2329.03984000,163966858.60808520,0
1711512000000,70388.00000000,70598.00000000,69640.00000000,69725.99000000,4193.40578000,1711526399999,294243585.76137700,281376,1929.38522000,135403154.35261770,0
1711526400000,69726.00000000,70359.97000000,69407.00000000,70220.73000000,5171.78507000,1711540799999,361662471.75500030,354886,2591.21719000,181183591.77876590,0
1711540800000,70220.73000000,71769.54000000,68534.01000000,68874.00000000,22329.46086000,1711555199999,1562321505.03774030,923473,11036.14265000,772513919.20334920,0
